id,submitdate,lastpage,startlanguage,seed,Randomisierung,Alter,Sex,Bildung,Partnerschaft,OPselbst,OPandere,BildVG,AnnaVG[Eig1],AnnaVG[Eig2],AnnaVG[Eig3],AnnaVG[Eig4],AnnaVG[Eig5],AnnaVG[Eig6],AnnaVG[Eig7],AnnaVG[Eig8],AnnaVG[Eig9],AnnaVG[Eig10],AnnaVG[Eig11],AnnaVG[Eig12],AnnaVG[Eig13],AnnaVG[Eig14],AnnaVG[Eig15],BildKG,AnnaKG[Eig1],AnnaKG[Eig2],AnnaKG[Eig3],AnnaKG[Eig4],AnnaKG[Eig5],AnnaKG[Eig6],AnnaKG[Eig7],AnnaKG[Eig8],AnnaKG[Eig9],AnnaKG[Eig10],AnnaKG[Eig11],AnnaKG[Eig12],AnnaKG[Eig13],AnnaKG[Eig14],AnnaKG[Eig15],SexCompetition[SexComp1],SexCompetition[SexComp2],SexCompetition[SexComp3],SexCompetition[SexComp4],SexCompetition[SexComp5],SexCompetition[SexComp6],SexCompetition[SexComp7],SexCompetition[SexComp8],SexCompetition[SexComp9],SexCompetition[SexComp10],SexCompetition[SexComp11],SexCompetition[SexComp12],PhysComp[PhysComp1],PhysComp[PhysComp2],PhysComp[PhysComp3],PhysComp[PhysComp4],PhysComp[PhysComp5],PhysComp[PhysComp6],PhysComp[PhysComp7],PhysComp[PhysComp8],PhysComp[PhysComp9],PhysComp[PhysComp10],BodyImage[BodyIm1],BodyImage[BodyIm2],BodyImage[BodyIm3],BodyImage[BodyIm4],BodyImage[BodyIm5],BodyImage[BodyIm6],BodyImage[BodyIm7],BodyImage[BodyIm8],ACSS[ACSS1],ACSS[ACSS2],ACSS[ACSS3],ACSS[ACSS4],ACSS[ACSS5],ACSS[ACSS6],ACSS[ACSS7],ACSS[ACSS8],ACSS[ACSS9],ACSS[ACSS10],ACSS[ACSS11],ACSS[ACSS12],ACSS[ACSS13],ACSS[ACSS14],ACSS[ACSS15]
512,1/1/1980 0:00,8,de,853849552,2,44,1,2,1,1,0,,,,,,,,,,,,,,,,,,1,3,5,4,5,5,5,5,5,4,1,5,5,4,2,1,1,1,1,1,2,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,2,1,1,7,3,1,3,2,6,6,3,5,7,4,7,5,1,1,1,1,1,7,1
513,1/1/1980 0:00,8,de,1072703707,2,29,1,1,0,0,1,,,,,,,,,,,,,,,,,,1,3,1,3,5,5,5,5,3,2,1,5,5,1,2,3,4,3,7,1,1,1,1,2,1,1,1,5,3,2,4,5,3,4,5,3,2,7,5,4,5,5,2,3,3,6,5,4,1,6,5,7,7,1,1,2,1,1,7,5
514,,1,de,173941936,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,1/1/1980 0:00,8,de,1895925596,1,20,1,1,0,1,1,,2,3,1,2,4,5,4,5,3,1,1,3,5,1,1,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,2,2,2,7,1,2,1,1,2,5,7,1,1,6,1,1,7,1,1,1,1,1,1,1
516,1/1/1980 0:00,8,de,405200354,2,47,1,4,1,0,0,,,,,,,,,,,,,,,,,,5,5,4,4,5,5,5,4,3,2,2,5,5,2,1,4,3,3,4,3,5,5,4,3,4,4,2,4,2,2,3,4,3,4,2,4,2,5,2,2,2,3,7,6,4,1,4,1,3,5,5,4,2,4,5,2,3,4,4,5
517,1/1/1980 0:00,8,de,984928781,2,22,1,3,1,0,1,,,,,,,,,,,,,,,,,"Extravertiert
Selbstbewusst
Sensibel",1,4,4,3,5,5,5,5,4,3,1,5,4,4,2,3,6,6,5,1,2,4,1,6,6,6,1,2,1,2,4,5,3,5,5,5,2,5,1,3,3,5,1,4,2,2,2,2,2,2,1,2,7,1,3,1,2,1,1,1
518,1/1/1980 0:00,8,de,1842317090,1,19,1,1,0,0,0,"eitel, oberflächlich, stressig, perfektionistisch, leugnend, hart arbeitend, engagiert ",3,4,3,4,5,5,5,5,4,5,3,3,4,5,2,,,,,,,,,,,,,,,,,2,1,4,4,1,3,5,1,6,3,3,1,1,3,2,4,2,4,5,2,2,3,2,3,5,1,4,5,2,3,4,5,6,4,3,4,5,3,6,4,5,7,4,3,2
519,,4,de,1547810088,1,59,1,2,1,0,0,,1,1,5,3,4,5,3,5,4,1,1,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,1/1/1980 0:00,8,de,180692598,2,38,1,2,0,0,1,,,,,,,,,,,,,,,,,"Ehrgeizig, Zielstrebig, ",1,3,3,1,5,5,5,5,3,1,1,5,5,2,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4,1,2,6,1,4,2,3,1,5,6,2,1,1,1,3,1,1,1,5,4
521,1/1/1980 0:00,8,de,697412907,2,27,1,3,1,0,0,,,,,,,,,,,,,,,,,"Gut im Zeitmanagement, strukturiert, klar und direkt, aber auch freundlich in der Kommunikation, fürsorglich, aufgeschlossen",2,2,2,3,4,4,4,5,2,1,2,4,4,2,1,2,2,2,3,1,1,1,1,1,1,1,1,3,2,2,4,3,3,3,4,3,3,3,3,4,3,3,2,4,3,4,4,2,4,5,2,2,2,1,6,2,1,1,4,2
522,,3,de,753927271,2,22,1,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,1/1/1980 0:00,8,de,1049422018,1,23,1,1,0,0,0,,3,5,4,2,3,4,3,3,5,4,4,3,3,5,4,,,,,,,,,,,,,,,,,1,2,1,2,1,1,1,1,3,1,1,1,3,3,1,1,4,1,4,3,4,5,7,4,7,2,5,7,4,7,5,4,3,2,4,6,4,7,1,2,1,4,2,5,6
524,1/1/1980 0:00,8,de,1585780653,2,21,1,1,1,0,1,,,,,,,,,,,,,,,,,,2,5,3,3,5,5,5,5,4,3,4,5,5,1,1,1,2,4,3,1,1,2,1,6,2,1,1,5,5,5,4,5,5,5,5,3,5,4,6,3,4,4,3,5,5,7,4,2,2,6,5,1,1,1,3,2,1,1,4,2
525,1/1/1980 0:00,8,de,2090563793,1,40,1,4,1,0,0,"zielstrebig, materialistisch, ordentlich, zuverlässig",4,3,2,2,2,4,4,4,5,3,4,2,4,4,3,,,,,,,,,,,,,,,,,1,1,3,3,1,1,1,1,5,2,1,1,3,2,1,1,2,2,2,2,2,2,2,4,4,1,4,5,6,4,5,3,1,3,2,1,3,1,1,2,1,1,1,5,1
526,1/1/1980 0:00,8,de,678769949,2,25,1,1,0,0,0,,,,,,,,,,,,,,,,,,1,3,3,2,2,4,3,3,3,3,3,3,3,3,3,1,2,1,4,4,3,2,4,3,3,2,1,5,5,3,1,5,2,4,3,4,5,4,3,7,4,4,7,4,7,4,7,1,3,4,4,4,1,1,3,1,1,1,6,3
527,1/1/1980 0:00,8,de,571232482,1,49,1,2,1,0,1,"Hübsch ,intelligent ",5,5,3,3,5,5,3,5,3,1,3,5,5,3,1,,,,,,,,,,,,,,,,,1,1,2,1,2,1,1,1,5,1,1,1,4,1,1,3,3,3,3,3,2,2,6,3,2,2,4,3,1,3,7,5,6,7,7,7,7,7,4,1,2,1,1,4,6
528,1/1/1980 0:00,8,de,65548971,1,23,1,3,0,0,0,,4,4,3,4,2,4,2,5,5,1,3,2,5,3,1,,,,,,,,,,,,,,,,,5,5,5,6,1,4,1,1,7,7,6,2,2,3,4,4,3,2,4,5,3,2,1,2,2,1,2,3,3,3,2,3,3,3,6,1,1,2,1,6,5,2,2,4,2
529,1/1/1980 0:00,8,de,1606651388,1,29,1,1,1,0,0," nach außen Selbstsicherheit ausstrahlen wollen; innerlich unsicher, gefallen wollen;",5,5,4,4,2,4,3,5,5,3,5,1,5,3,1,,,,,,,,,,,,,,,,,1,4,2,2,2,1,1,1,1,1,1,1,4,1,1,3,5,2,1,2,2,3,2,1,3,1,2,3,3,3,2,5,1,1,1,1,1,1,1,7,1,1,1,1,1
530,1/1/1980 0:00,8,de,565112452,1,33,1,3,1,0,0,,3,3,2,2,3,3,4,4,3,2,3,2,3,2,1,,,,,,,,,,,,,,,,,2,2,1,3,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,2,2,2,6,1,1,2,2,1,2,1,7,6,4,5,5,4,5,4,3,2,3,1,2,6,1
531,,5,de,379321650,1,26,1,1,0,0,0,,2,4,3,3,4,4,4,4,4,2,4,4,4,3,2,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
