MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
G_XPOP,GERD per capita population (current PPP $),USA,United States,1996,1996,PC,Percentage,0,Units,,,733.3768362,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1997,1997,PC,Percentage,0,Units,,,778.4274504,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1998,1998,PC,Percentage,0,Units,,,819.2059503,b; d,Time series break; Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,1999,1999,PC,Percentage,0,Units,,,877.0334517,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2000,2000,PC,Percentage,0,Units,,,950.9911543,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2001,2001,PC,Percentage,0,Units,,,978.3889911,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2002,2002,PC,Percentage,0,Units,,,966.8663506,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2003,2003,PC,Percentage,0,Units,,,1005.267939,b; d,Time series break; Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2004,2004,PC,Percentage,0,Units,,,1036.015577,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2005,2005,PC,Percentage,0,Units,,,1102.157821,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2006,2006,PC,Percentage,0,Units,,,1176.866855,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2007,2007,PC,Percentage,0,Units,,,1254.653691,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2008,2008,PC,Percentage,0,Units,,,1331.191326,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2009,2009,PC,Percentage,0,Units,,,1315.587163,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2010,2010,PC,Percentage,0,Units,,,1318.413757,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2011,2011,PC,Percentage,0,Units,,,1367.700411,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2012,2012,PC,Percentage,0,Units,,,1380.386051,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2013,2013,PC,Percentage,0,Units,,,1435.286772,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2014,2014,PC,Percentage,0,Units,,,1492.49533,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2015,2015,PC,Percentage,0,Units,,,1575.226706,b; d,Time series break; Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2016,2016,PC,Percentage,0,Units,,,1643.407915,b; d,Time series break; Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2017,2017,PC,Percentage,0,Units,,,1730.664505,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2018,2018,PC,Percentage,0,Units,,,1879.797077,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2019,2019,PC,Percentage,0,Units,,,2050.996481,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2020,2020,PC,Percentage,0,Units,,,2201.370866,d,Definition differs
G_XPOP,GERD per capita population (current PPP $),USA,United States,2021,2021,PC,Percentage,0,Units,,,2426.193436,d; p,Definition differs; Provisional value
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1981,1981,USD,US Dollar,6,Millions,,,50425,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1982,1982,USD,US Dollar,6,Millions,,,57166,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1983,1983,USD,US Dollar,6,Millions,,,63683,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1984,1984,USD,US Dollar,6,Millions,,,73061,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1985,1985,USD,US Dollar,6,Millions,,,82376,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1986,1986,USD,US Dollar,6,Millions,,,85932,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1987,1987,USD,US Dollar,6,Millions,,,90160,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1988,1988,USD,US Dollar,6,Millions,,,94893,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1989,1989,USD,US Dollar,6,Millions,,,99860,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1990,1990,USD,US Dollar,6,Millions,,,107404,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1991,1991,USD,US Dollar,6,Millions,,,114675,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1992,1992,USD,US Dollar,6,Millions,,,116757,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1993,1993,USD,US Dollar,6,Millions,,,115435,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1994,1994,USD,US Dollar,6,Millions,,,117392,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1995,1995,USD,US Dollar,6,Millions,,,129830,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1996,1996,USD,US Dollar,6,Millions,,,142371,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1997,1997,USD,US Dollar,6,Millions,,,155409,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1998,1998,USD,US Dollar,6,Millions,,,167102,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,1999,1999,USD,US Dollar,6,Millions,,,182090,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2000,2000,USD,US Dollar,6,Millions,,,199961,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2001,2001,USD,US Dollar,6,Millions,,,202017,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2002,2002,USD,US Dollar,6,Millions,,,193868,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2003,2003,USD,US Dollar,6,Millions,,,200724,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2004,2004,USD,US Dollar,6,Millions,,,208301,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2005,2005,USD,US Dollar,6,Millions,,,226159,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2006,2006,USD,US Dollar,6,Millions,,,247669,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2007,2007,USD,US Dollar,6,Millions,,,269267,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2008,2008,USD,US Dollar,6,Millions,,,290680,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2009,2009,USD,US Dollar,6,Millions,,,282393,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2010,2010,USD,US Dollar,6,Millions,,,278977,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2011,2011,USD,US Dollar,6,Millions,,,294092,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2012,2012,USD,US Dollar,6,Millions,,,302251,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2013,2013,USD,US Dollar,6,Millions,,,322528,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2014,2014,USD,US Dollar,6,Millions,,,340728,d,Definition differs
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2015,2015,USD,US Dollar,6,Millions,,,367312,b,Time series break
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2016,2016,USD,US Dollar,6,Millions,,,390336,b,Time series break
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2017,2017,USD,US Dollar,6,Millions,,,416601,,
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2018,2018,USD,US Dollar,6,Millions,,,457861,,
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2019,2019,USD,US Dollar,6,Millions,,,508420,,
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2020,2020,USD,US Dollar,6,Millions,,,554742,,
