"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.18174887329057","-5.87943078914522","-2.40982366468278","-2.36527194510508","1.41077151913626","4.09599734638427","3.69371584118106","4.54091239258953","11.8735562318315","10.6637602256946","18.6304447793667","13.6252888880577","5.2593509312596","-1.36529962130641","-0.914900457537499","3.92931585815515","5.83477857643635","-0.842703020008557","7.60000000000001","-1.19999999968053","4.70000000436511","-2.40000001188977","-2.09999999119958","-3.00000000242406","12.8999999950853","9.20000000606365","8.39999999999992",
"American Samoa","ASM","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","3.66976798963607","3.86476722786449","4.08627553922211","3.1083182716153","9.10703002384787","10.0412860318706","5.34428901263072","9.15683620189517","3.20075589807188","7.56487654144374","5.19749966750898","4.28582265038307","3.18591795170207","2.52243996428403","8.88807398324604","8.2278281185868","0.639847525696013","2.98082032948453","3.30831300431601","2.2578242784226","4.54295154185023","1.5028842804591","2.54360708426798","4.66065379749419","8.83447065704817","4.34386935429549","3.38770044294887","3.76225522756862","2.94279568791129","2.64910546051527","3.2016914138936","2.54881012479895","2.54327517516143","1.08686550667359","4.30955457627869","4.21991635343322","2.11164222471693","4.06431264861853","4.51173107444021","3.12817322733801","1.88188854145876","3.38429658522995","2.78463209843271","4.47653577500564","3.05189356212405","3.06462966838529","3.08795351086728","3.10110556795107","4.13572227509881","1.62815055972887","3.11321466903426","3.80132037153753","0.547691477356366","1.62649977735893","2.20098134837868","4.7579056171065","4.89191371036462","3.54779745807099","5.01858160421182","7.03788895278257","6.52233306165554",
"Austria","AUT","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","3.27673396865168","4.11498866131856","2.98273290970505","5.70301303302297","3.97861992299846","4.25879177795765","3.72913757870469","0.848710120548674","3.66186920479751","2.00092844841507","1.89011880785053","3.24440621317932","1.83496422452438","0.624498494749844","1.4100209987427","1.68847567246971","0.0710158944775401","1.74254184520599","1.65191601499551","2.11068806150803","3.00446693317676","3.04476713654832","3.83926606447315","2.95703511070531","2.62589310363595","1.11976874009278","2.714232528856","3.01539201566401","3.25987596132171","0.231786442486538","-0.346601638641189","0.797068386342332","1.01866203634202","1.53767272031658","2.26052971266979","3.2682539440177","1.39793898319185","3.66901310275981","2.45630321682455","0.0140151209426591","0.0701110372994407","0.0514159199726407","0.758051586257153","0.839895099463078","0.879474142315502","1.83477473277105","0.784334329075165","1.2781367382608","1.27790078670722","-0.473169691002269","7.82498051761762",
"Azerbaijan","AZE","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.84209328281493","23.3939817199682","-11.0317333942761","6.15502316027654","25.859010466533","-5.14104987471745","23.2204363781463","10.8485144193513","5.30883251290729","7.60707907039679","33.5561538616692","19.8791725713903","28.4492880714694","44.5325568921922","20.664870764606","33.3697626904539","5.67012277318707","-9.80265080871749","10.1754794652407","2.20000020077116","","","","","","","","","",
"Burundi","BDI","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.77224263878664","6.83927934486617","-46.7670047514173","16.0553734962817","-0.612190106274852","24.632090238237","25.4410434815447","16.5185824678694","15.1328106405448","28.9790576492794","32.715605509395","-7.72200272309198","15.3445680689868","5.34947088228148","5.75300613706169","12.263727509187","1.83521764977246","-3.87339574426507","0.067662440283172","8.82147053677626","6.65555673434875","8.33771780495684","19.1754017693492","5.37417473387028",
"Belgium","BEL","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","5.53219219532292","5.88885652215309","5.33891725475821","3.40938481481685","4.50429739934317","3.68323740452952","2.27405233505336","6.04051043318856","2.48092867032679","1.9365985752827","3.13623038686923","-0.677371257587907","0.625566747974887","0.22429178233736","2.91170112758294","1.30001993349286","2.67634261234323","-0.690845538394342","1.18993099590143","-0.386703167238849","3.64367008587689","1.50260620540897","-0.172636546583732","1.38996914905867","1.50736642652622","1.51802110061672","1.21635897449752","1.73040630180208","2.3845103258809","2.36383020710265","2.12434889394906","3.29184864483214","1.8668309088622","2.40392176507387","0.364153879757538","0.744481283119399","1.92564522897906","3.09976288982988","1.57903358604865","0.371651996285593","0.486210217135394","1.18487646999195","0.138603287851751","1.2098109167644","0.27932249264498","0.465324721252287","0.178935752051075","1.6318790943384","2.23177296002004","0.0131193040354844","4.83941649103681",
"Benin","BEN","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","3.25221320463571","3.14955781115039","3.05336205010538","-8.14805247264513","1.61740512783662","-3.9680916844449","13.2231264899813","1.45971661592974","2.15825898601088","11.2646970383749","0.466472301557388","8.87954179480968","5.33737974863388","-6.3640491758398","-3.89611991806406","-9.14415998891343","-13.5348832340596","-0.057514069905821","7.91750067028407","17.4907461425327","9.09493663285615","-22.733262095778","33.3333361984656","1.60254680110941","13.8801512268798","-2.35457588225393","-1.56027962772302","-19.5965440363214","-1.7327181362927","57.3646233258798","-4.10636924753418","-0.627412281979204","0.0177731999470865","4.30021116877847","3.06457009627805","2.27228567030942","3.98057678327844","5.18815473590894","2.17040748337828","5.30767442272281","10.3266034663083","3.28120634963905","14.807984104662","6.19474912414064","4.273006114968","9.23137382130825","4.07125657049498","14.6591185542293","9.77971797225563","1.21189680271554","3.34734902581968","4.76689837463722","7.89682221635901","-2.28745754534627","13.5699189756018","-6.25622309831877","6.97043957569699","5.99999999480818","5.82580347791162","14.4411167031815","-2.1298192088264",
"Burkina Faso","BFA","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","-9.80266149794976","2.17208052310099","42.5553348681434","0","17.9110720372727","2.66658907811592","16.0472798037485","6.38447486851189","5.99891210796856","36.7932458979608","-0.688352957734139","-6.94549653864877","1.49354780142794","9.37989429970418","-10.6607626321735","9.88143181363324","53.0576663064079","-4.05405492916816","2.81690954841069","2.65992978877281","8.16491786622819","7.24917300500545","4.05518732497565","-0.930588518828984","4.00209042848839","6.02200252312551","-1.67669871090781","-1.99285339355077","15.2466910109721","2.29683620342911","4.51637345700513","1.01443440051274","6.57502687770911","-14.6424789694193","16.3119298828541","13.4152739908998","6.38840620313796","0.194675988956348","9.44302171049969","9.11797510931878","14.0227860699184","6.80886117438253","-2.59180826321355","6.44773747867593","4.29810725395896","7.76707578658397","6.91184888628547","6.0419423064757","6.15914659931323","11.8162130464027","10.6239543528509","13.3368647894242","7.93410690684281","14.5943192629147","","",
